id,format,rating,uploadtime
gen7nu-757267951,[Gen 7] NU,1039.0,1528075325
gen7nu-757291705,[Gen 7] NU,1043.0,1528078975
gen7nu-757303104,[Gen 7] NU,1064.0,1528081499
gen7nu-757308623,[Gen 7] NU,1135.0,1528082056
gen7nu-757352201,[Gen 7] NU,1132.0,1528092909
gen7nu-757359396,[Gen 7] NU,1105.0,1528094480
gen7nu-757370218,[Gen 7] NU,1017.0,1528098089
gen7nu-757378568,[Gen 7] NU,1035.0,1528100799
gen7nu-757402240,[Gen 7] NU,1038.0,1528107006
gen7nu-757414759,[Gen 7] NU,1028.0,1528110697
gen7nu-757434648,[Gen 7] NU,1029.0,1528114663
gen7nu-757437826,[Gen 7] NU,1085.0,1528115563
gen7nu-757441154,[Gen 7] NU,1070.0,1528116289
gen7nu-757443001,[Gen 7] NU,1074.0,1528116884
gen7nu-757444886,[Gen 7] NU,1052.0,1528117238
gen7nu-757446215,[Gen 7] NU,1173.0,1528117231
gen7nu-757446879,[Gen 7] NU,1086.0,1528117194
gen7nu-757502209,[Gen 7] NU,1316.0,1528126934
gen7nu-757504183,[Gen 7] NU,1021.0,1528126581
gen7nu-757526273,[Gen 7] NU,1313.0,1528129677
gen7nu-757637424,[Gen 7] NU,1253.0,1528143802
gen7nu-791176641,[Gen 7] NU,1096.0,1534366915
gen7nu-791200211,[Gen 7] NU,1260.0,1534370397
gen7nu-791230087,[Gen 7] NU,1070.0,1534374739
gen7nu-791235336,[Gen 7] NU,1349.0,1534375759
gen7nu-791251499,[Gen 7] NU,1034.0,1534378347
gen7nu-791262402,[Gen 7] NU,1167.0,1534380351
gen7nu-791276687,[Gen 7] NU,1014.0,1534382266
gen7nu-791287926,[Gen 7] NU,1254.0,1534384304
gen7nu-791296679,[Gen 7] NU,1031.0,1534385763
gen7nu-791300263,[Gen 7] NU,1049.0,1534386090
gen7nu-791308885,[Gen 7] NU,1081.0,1534387551
gen7nu-791312227,[Gen 7] NU,1036.0,1534388340
gen7nu-791320921,[Gen 7] NU,1030.0,1534389973
gen7nu-791342298,[Gen 7] NU,1036.0,1534394706
gen7nu-791345385,[Gen 7] NU,1247.0,1534395067
gen7nu-791355515,[Gen 7] NU,1078.0,1534397540
gen7nu-791380091,[Gen 7] NU,1020.0,1534405267
gen7nu-791382944,[Gen 7] NU,1175.0,1534406086
gen7nu-791384165,[Gen 7] NU,1056.0,1534406581
gen7nu-791386089,[Gen 7] NU,1034.0,1534407025
gen7nu-791396277,[Gen 7] NU,1067.0,1534410884
gen7nu-791402592,[Gen 7] NU,1086.0,1534412502
gen7nu-807500471,[Gen 7] NU,1035.0,1537287250
gen7nu-807509616,[Gen 7] NU,1172.0,1537289038
gen7nu-807627462,[Gen 7] NU,1025.0,1537304588
gen7nu-807635674,[Gen 7] NU,1088.0,1537305363
gen7nu-807637264,[Gen 7] NU,1027.0,1537305695
gen7nu-807647121,[Gen 7] NU,1148.0,1537307047
gen7nu-807665533,[Gen 7] NU,1019.0,1537309851
